hospital_name,list_page_url,base_url,listing_selector,list_title_selector,link_selector
重庆人事考试中心,https://rlsbj.cq.gov.cn/ywzl/rsks/sydwks/,https://rlsbj.cq.gov.cn/,ul.rsj-list1 li,a,a
成都第一骨科医院,https://www.oneguke120.cn/post-sub/20230531160300.html,https://www.oneguke120.cn/,div.col-xs-9.pl0 div,p.article_title a,p.article_title a
眉山妇幼保健院,https://www.msfybj.com/news_job/,https://www.msfybj.com/,div.info-list ul li,a,a
成都市郫都区人民医院,https://www.pdqrmyy.cn/infolist/68/index.html,https://www.pdqrmyy.cn/,div.article_list div,h2,h2 a
三六三医院,https://www.363120.com/gzb_zbzp_zpzq,https://www.363120.com/,ul.mt30 li,p a,p a
成都市人力资源和社会保障局,https://cdpta.cdrsigc.com/netpage/ortherlist_all.do?pageSize=30&ifall=1&id=989,,ul.new_list ul li, a, a
广安市人民医院,http://gasrmyy.com/yiyuangonggao/renshixinxi/, ,ul.txt-list li,a,a
简阳市人民医院,https://jy120.cn/news.aspx?mid=116&sid=,,ul.research-news li,div a,div a
四川省第四人民医院,https://m.scsdsrmyy.cn/ennews_recruitment/,,ul li.mui-card,div h4,div a
四川省八一康复中心,https://www.81kf.cn/ywgk/zszp/zpxx.htm,,ul.lb-list li,a,a
成都市金牛区妇幼保健院,https://www.cdjnbjy.com/news.aspx?mid=166&sid=,,div.dqjsL_list ul li,a div,a
成都市血液中心,https://www.cdxyzx.cn/renshigonggao.html,,div.news-list.adpat,a,a
重庆市公共卫生医疗救助中心,https://www.cqgwzx.com/rsrc?sort=%E4%BA%BA%E4%BA%8B%E4%BA%BA%E6%89%8D&tabDataId=59&tabInfocusId=62,,,,
两江新区人才招聘,https://www.cqljzp.com/announcement/,,ul.announcement_list li,a,a
重庆市红十字会医院,https://www.cqshszhyy.cn/html/xwzx/rczp/,,ul.listSeven li,a div.text div,a
成都中医药大学第二附属医院,https://www.czyefy.com/get/class/xwzx/rczp/index.html,,ul.pageTPList li,a,a
德阳市中西医结合医院,https://www.dyszxyjhyy.com/go.htm?k=zui_xin_gong_gao&url=textlist&pageIndex=1,,div.xinwen_bottom ul li,span[class*="txt-cut"],a
达州市第一人民医院,https://www.dz1yy.cn/list/50.html,,ul.yyggul li,a,a
达州市中心医院,https://www.dzcch.com/list/list_28_0.html,,ul.nnew_list li,a,a
重庆市大足区人民医院,https://www.dzqrmyy.com/index.php/recruitment,,div.navBox a,a.flex-jsb div span,a
重庆市涪陵区人民医院,https://www.flqrmyy.com/list-50.html,,table tr:has(a[href*="/show-"]),a[href*="/show-"],a[href*="/show-"]
广安市广安区人民医院,https://www.gaqrmyy.com/yiyuangonggao/zhaopinxinxi/,,ul li,a,a
广安市妇幼保健院,https://www.gasfybjy.cn/gonggao.html,,div.m_news_list div,div.news_title a,div.news_title a
广元市妇幼保健院,https://www.gyfybj.cn/list.html?cls1=2&cls2=73,,div.info_ul div.listLi.nopic,h4,a
广元市中心医院,https://www.gyszxyy.cn/list.html?cls1=2&cls2=20,,ul.pNews-list li,a,a
广元市中医医院,https://www.gyszyy.cn/list.html?cls1=2&cls2=17&cls3=&page=1,,div div.divinfowai,a,a
剑阁县人民医院,https://www.jgrmyy.cn/list.html?cls1=13&cls2=30,,div div.divinfowai,a,a
四川省科学城医院,https://www.kxc120.cn/zbzp/rszp.htm,,ul.lb-ul li,a,a
重庆市开州区中医院,https://www.kzqzyy.com/news_17/,,ul li,div.list_news_info,a
乐山市市中区妇幼保健院,https://www.leshan.cn/html/list/A5DA78F4AEF50D08/list_A5DA78F4AEF50D08_1.html?spm=zm5142-001.0.0.3.PYiqSb,,ul.list_content li,a,a
乐山市市中区人民医院,https://www.lssszqrmyy.cn/h-col-165.html,,div.m_news_list div,div.news_title a,div.news_title a
阆中市中医医院,https://www.lzzyyy.com/figure/list.jspx?channel=%E9%80%9A%E7%9F%A5%E5%85%AC%E5%91%8A,,ul.news_list_main li,a,a
眉山市人民医院,https://www.mssrmyy.cn/index.php?m=home&c=Lists&a=index&tid=108,,#box li.art_5,a,a
绵阳市人民医院,https://www.mysrmyy.cn/video/,,ul.news-list li,a,a
成都青白江区中医医院,https://www.qbjzyy.cn/go.htm?k=ren_shi_zhao_pin&url=text_list,,div.zybj div.zybj-left,a,a
四川省第二中医医院,https://www.sc2zyy.com/news.aspx?mid=414&sid=,,a[href*="newsshow.aspx?mid=414&id="],a[href*="newsshow.aspx?mid=414&id="],a[href*="newsshow.aspx?mid=414&id="]
绵阳江油市妇幼保健院,https://www.scjysfybjy.cn/html/News/GongGao/,,div.info-list ul li,a,a
绵阳市骨科医院,https://www.scsmysgkyy.cn/,,ul.noticeHome li,a,a
四川省卫生人才健康管理平台,http://www.scwsrc.com/news/other/2,,ul li,a,a
乐山市沙湾区人民医院,https://www.swqrmyy.cn/col.jsp?id=126,,#newsList573 .J_newsListLine,a.fk-newsListTitle,a.fk-newsListTitle
达州市第三人民医院,https://www.xyy120.cn/index.php?m=content&c=index&a=lists&catid=35,,div.xyy_liebiao ul li,a,a
宜宾人力资源市场企业招聘,https://www.ybrc128.com/pages/dynamic/articles?block=RQ0N7a1b2LzCBFHk,,.page_left__41Y5l li,a,a
资阳市人民医院,https://www.zysrmyy.com/hos_hr/,,ul.info-list li,a,a
